"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Reg3g",1242.01141190122,13236.7583202059,1322.14668710012,1.15672938207319e-268,0,1.25297955679217e-285,9.41404207600269e-266,0,2.03947482459061e-281
"Reg3b",1424.41227025601,14284.0483055186,1174.53010358979,3.07803658182866e-307,0,2.35237433403454e-254,3.13132509015157e-304,0,1.91447985175401e-250
"Mt1",17108.2078429481,0.0294737346383764,1150.68448783319,0,0.863690486723855,2.70637711998e-249,0,0.896940647707071,1.46839001273048e-245
"Fth1",1942.02132134114,991.740334021836,1015.07223822429,0,1.70149778815031e-215,1.8295494552077e-220,0,1.2309013110099e-213,7.44489412060395e-217
"Mkrn1",505.719425820165,1001.92090979841,882.70549873244,2.02113411583307e-111,1.15503014390624e-217,3.03680764814918e-192,3.82534883760639e-109,8.50697993319545e-216,9.88602361778485e-189
"Sycn",528.937241458524,461.779395688678,841.914826948292,2.03060528462678e-116,5.91679215051712e-102,1.566799067294e-183,4.13152027723377e-114,1.64347484358306e-100,4.25046473639075e-180
"B2m",3914.86002694973,2232.69415486374,786.862099849875,0,0,9.249859011829e-172,0,0,2.15085650193629e-168
"Itprid2",63.9633882708058,904.582544702189,745.397394586759,1.29542833682193e-15,6.49825577630019e-197,6.93923233430366e-163,1.56654435649707e-14,4.13172301839212e-195,1.41187355881826e-159
"Mtdh",215.979206693577,699.372611685195,727.676146637176,8.68479060108251e-49,5.03597570036995e-153,4.33389852637431e-159,4.71207788712733e-47,2.34872711962526e-151,7.8380962570883e-156
"Dmbt1",554.074671779473,2151.0766052333,718.051992903815,7.93536386494989e-122,0,4.99830512322521e-157,1.69952523197091e-119,0,8.13574124907368e-154
"mt-Nd4l",2.51108043930568,30.4245264328701,603.890052009549,0.113054935334988,3.48882795935924e-08,1.55511654750196e-132,0.203163519528571,1.12139914483591e-07,2.30114836760812e-129
"Atp6v0a1",163.565772319152,1271.98351408603,550.45565457173,2.1638981257346e-37,5.18314766713134e-275,4.76389174689504e-121,8.09695857300738e-36,5.17583402318386e-273,6.46182216368422e-118
"Cd63",18.8271396408497,520.549943542701,487.206056556735,1.43405704857609e-05,1.29655005486889e-114,1.96284469176158e-107,6.17644056814021e-05,4.12186430529315e-113,2.45763254213871e-104
"Tpt1",137.761525169602,246.125937107046,480.268584443668,9.07515236847796e-32,2.48649142599193e-55,6.13057598005538e-106,2.65676717808841e-30,3.53781651581037e-54,7.12767037338295e-103
"Casp14",845.054377867768,3412.30264509612,460.659924229912,3.34313724826012e-184,0,1.03133917322298e-101,1.47070932405216e-181,0,1.1191405148367e-98
"Rsrp1",0.947838420920076,25.5452368410732,446.374739990018,0.330274985476489,4.33702824981855e-07,1.23976330893891e-98,0.465243265997474,1.29529924444581e-06,1.26122671122492e-95
"Slc15a2",10.6064444676883,4.29753761722745,431.25201347249,0.00112771715016636,0.0381728760598118,2.2650268295085e-95,0.00349036928185164,0.0645145783018956,2.16869657081823e-92
"Rnase4",1428.70538640059,2634.75055024319,423.820209755179,3.82026627136337e-308,0,9.08786608508009e-94,4.14549827326544e-305,0,7.78543138246572e-91
"Lgals2",1123.97480207841,429.406743207076,423.85298018814,1.27094815306476e-243,5.66442599441531e-95,8.94110348980222e-94,8.27488923497404e-241,1.47519779057757e-93,7.78543138246572e-91
"Rnf213",200.733469736709,199.693020269044,407.200423472332,1.78162576772627e-45,2.99867375865724e-45,3.5095666732218e-90,8.78773412766075e-44,3.60217068410804e-44,2.85626083700156e-87
"App",28.0345596032299,177.629109739328,403.727019017351,1.19686901719223e-07,1.88150312630591e-40,1.97270865188055e-89,6.84279486927921e-07,2.01084874503488e-39,1.52903708222189e-86
"Sema4g",142.9107848972,1225.47338344546,401.664687135171,6.84074697991745e-33,3.69812479063239e-265,5.49913750265831e-89,2.09298568782174e-31,3.4996730940188e-263,4.06861186958042e-86
"Muc3a",188.923185149397,3060.87669571138,398.371472521454,6.5778988026348e-43,0,2.82689106576468e-88,2.99073907291862e-41,0,2.00057851641094e-85
"Atp2a3",97.3481545774538,7.4927155082746,381.09338832146,6.11232775493897e-23,0.0061971686022462,1.52309922549794e-84,1.15956129215783e-21,0.0120127799617437,1.03297858722625e-81
"Tmsb4x",400.329155280587,4485.58557166482,379.727131391712,1.06814993220337e-88,0,3.00512895744637e-84,1.32719667530338e-86,0,1.95657936161418e-81
"Aldoa",50.3340985180111,15.8332828214657,378.571988700416,1.31451399537266e-12,6.92756726729928e-05,5.33829214513046e-84,1.25198035709075e-11,0.00017007543349899,3.34197620178033e-81
"Fdft1",9.65809003410167,60.0213971562363,376.172951752877,0.00188628671496835,9.56515920585668e-15,1.76067235478909e-83,0.00556921619073821,4.4945755309968e-14,1.06142458958897e-80
"mt-Atp6",12.0077343945634,8.43643172892916,374.749734316937,0.000530261071119329,0.00367943562938451,3.57404172156806e-83,0.00175285529135039,0.00737682700315533,2.07766703935583e-80
"mt-Co3",25.0088822066622,77.1694986862072,351.527084243185,5.72659893676408e-07,1.61922349045587e-18,3.73293949439177e-78,3.00877504498738e-06,8.98912031178384e-18,2.09520883276603e-75
"Aim2",104.501890886855,713.817242819546,348.757318006369,1.6632222410697e-24,4.03872634410651e-156,1.48208692874593e-77,3.45309546146575e-23,1.93348084420652e-154,8.04130964639919e-75
"Ceacam1",52.98166143956,9.08463590570167,346.905177415181,3.41776280699599e-13,0.00257899218889176,3.72676883065585e-77,3.40667025165179e-12,0.00527829194751554,1.95679407279307e-74
"Txnip",3.9795990559693,9.47407392134357,344.862324898113,0.0460601223506933,0.00208512537881603,1.0305059960491e-76,0.0956764435301474,0.00432296341752497,5.24173315552849e-74
"Lgals4",688.535402986811,541.644487731286,341.307310186845,1.06028131024906e-150,3.74444994407483e-119,6.05061586008932e-76,2.92511845541083e-148,1.25150742792004e-117,2.98442043499011e-73
"Shoc2",752.085934140393,126.879424844482,339.841368104271,2.56528656237994e-164,2.14777100571612e-29,1.25551862689061e-75,7.87833384450156e-162,1.70449871575043e-28,6.0106107911466e-73
"mt-Co2",5.56705844412528,31.6485259075408,338.936087923673,0.0183054292274311,1.85772715470498e-08,1.97063023298121e-75,0.0428161332856583,6.08537430008714e-08,9.16455665778147e-73
"Mrfap1",154.916157313581,88.051412800424,338.739759248861,1.65551269835481e-35,6.64378824459693e-21,2.17302729458717e-75,5.73335748747262e-34,4.05174002462736e-20,9.82510146499871e-73
"Trir",20.1725388165335,587.166183413614,324.949551884155,7.0924895587618e-06,6.09769527923892e-129,2.08971992661614e-72,3.20234265042901e-05,2.34638737730903e-127,9.19307330960294e-70
"Mapk6",6.43280967234731,23.2174534925974,321.243995727277,0.0112062378799687,1.45115824022355e-06,1.32392060680974e-71,0.0277125393455257,4.15415101584924e-06,5.67090939922163e-69
"Ywhah",3.34217762760164,45.3471322993312,317.348490146929,0.0675313399956146,1.66868096806545e-11,9.22213836552727e-71,0.132578412870416,6.66367029371965e-11,3.84894220963301e-68
"Plac8",1.72654965770733,2.13387747187848,313.912559790161,0.188858366572391,0.144082387109806,5.11015311083915e-70,0.305237576476894,0.208817470838421,2.07944905462822e-67
