"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Dmbt1",525.309321203636,371.87021108364,484.683536354787,1.13519696590544e-114,4.6145532507167e-82,4.58277793557545e-106,1.14250479637346e-111,2.96048410343789e-80,7.37964730965714e-102
"Mt1",12998.1185097093,164.377377698709,428.226092219155,0,1.80165467067734e-37,4.50655345122252e-94,0,4.55448118711416e-36,3.62845151125182e-90
"Reg3g",211.352800960803,5656.15230092842,397.151655255938,1.26877428286171e-47,0,1.86791425369862e-87,2.29562609853058e-45,0,1.00263410757697e-83
"Sycn",199.132925772221,181.402504275927,364.707348376755,5.50388008738552e-45,3.7300985096473e-41,1.56139095552168e-80,8.77514663833356e-43,1.0631110849708e-39,6.28576963919139e-77
"Itprid2",44.176746619793,678.952770914565,347.11165219439,3.0832853765432e-11,4.80574326087625e-147,8.97977286771943e-77,6.27688298590078e-10,6.50309947310002e-145,2.89202564977772e-73
"Fth1",758.406317004436,259.985339755734,322.700342610802,1.11170892281985e-163,4.27325447530689e-58,1.49977835708773e-71,1.79018487841681e-160,1.77351074267698e-56,4.02515514736394e-68
"Mkrn1",269.207600886057,391.462606064926,283.065878809487,4.45439882465813e-60,3.04917376905179e-86,4.70720874582187e-63,1.13855848053127e-57,2.09832671807867e-84,1.08285974905671e-59
"Reg3b",187.397090134097,6834.86378097931,277.382550430848,1.88732349417002e-42,0,7.81473462773378e-62,2.78821745198347e-40,0,1.45709585354955e-58
"Cd63",12.8164974375252,111.48476775826,277.299145202543,0.000344449207548811,5.48655978371279e-26,8.14373885732223e-62,0.00198662807634617,8.9062572779362e-25,1.45709585354955e-58
"mt-Nd4l",4.86078026297989,15.4667934292571,273.396687093981,0.0274860761982069,8.42713930966728e-05,5.60929722521901e-61,0.0834480175376558,0.000322027110354941,9.03265132177017e-58
"Mtdh",48.28309326074,181.433278652418,265.901604472951,3.81102887041957e-12,3.67338164300906e-41,2.28636257304003e-59,8.58307662942186e-11,1.04880256378324e-39,3.3470269557876e-56
"Lgals2",351.772033117067,309.377893461735,249.970403589126,9.05879885411519e-78,1.07072808288084e-68,6.08808100610781e-56,3.55789848653212e-75,5.4736299424223e-67,8.16969737011284e-53
"App",21.0426363275432,2.76382897593046,229.068027065346,4.52099529678648e-06,0.0964340311881624,1.92470005463373e-51,4.00669164910031e-05,0.174578662644517,2.38411115228977e-48
"Atp6v0a1",42.2606766219717,558.605258216095,226.238360945895,8.19078756194839e-11,1.03820764542999e-121,7.83515342020384e-51,1.5480780764091e-09,1.05811757685817e-119,9.0121053946816e-48
"Atp2a3",37.4753574517216,10.8330231979566,225.403440056582,9.44266782690705e-10,0.000998909498479079,1.18567222775025e-50,1.55954133350445e-08,0.00315153598236846,1.27285865889748e-47
"Fdft1",0.636835753624424,0.0397822090103388,206.388450044663,0.424869109811677,0.841909188812749,1.49448296086842e-46,0.602259443248013,0.890168330101885,1.50410369492901e-43
"B2m",1291.22136251903,555.433325869047,205.227097705832,1.81754638966714e-273,4.85594151136212e-121,2.66147286873366e-46,7.31698737820247e-270,4.91793875204177e-119,2.52104103560106e-43
"Hgfac",52.7095113868196,352.94977837765,194.860825491044,4.01928170199378e-13,5.07414027192315e-78,4.60528563450378e-44,1.01925186216072e-11,3.0262548443992e-76,4.11993969846746e-41
"Muc3a",201.357784753239,2125.27924990297,180.909195961857,1.82103300495844e-45,0,4.76858111497619e-41,2.96202974533796e-43,0,4.04149798391903e-38
"Rsrp1",28.5527445908191,1.06916378033297,179.280229776278,9.22514217496842e-08,0.301147817619144,1.07313472892415e-40,1.11609665246819e-06,0.432757053301321,8.64034426993276e-38
"Trir",25.8411931513263,306.582263414457,176.622852960944,3.74278915432155e-07,4.25405290664783e-68,4.0310364074767e-40,4.06406835819554e-06,2.15418282879717e-66,3.09103710807606e-37
"Msmo1",0.508572186325117,153.3893506185,175.566122045602,0.475766526453574,4.32753374925451e-35,6.82357773067956e-40,0.648710277348172,1.01141184273215e-33,4.99454873623332e-37
"Ppif",9.73473823323128,2.12847594214657,172.04427871887,0.0018109360249561,0.144601299152783,3.94472604081008e-39,0.00852924914006086,0.24356848538256,2.76182275805064e-36
"Tpt1",48.3495925562893,63.3492014253185,166.307646963306,3.68427967396984e-12,1.82983881106423e-15,6.88209736309275e-38,8.30923747758212e-11,1.81440236296597e-14,4.61760057657844e-35
"Lgals4",141.877117175744,10.5730528171185,158.086876606166,1.35842176167859e-32,0.00114951894518215,4.15166445426046e-36,1.2571646912822e-30,0.00359570776500936,2.67417010827825e-33
"Rnf213",100.665613148395,37.7645302888956,157.225758107573,1.25025635180347e-23,8.14406262573722e-10,6.37977202053775e-36,7.29452102648232e-22,5.50793114079154e-09,3.95128726333536e-33
